index,vbm
0,-7.96431991804224
1,-7.15456827372459
2,-8.37218147263072
3,-8.15163066168429
4,-7.76662244232638
5,-6.23516976613344
6,-5.6809985243362
7,-4.91001286018939
8,-7.42235752774064
9,-5.44823409557016
10,-4.96851290752504
11,-4.36984268494068
12,-3.77693226367582
13,-5.91904041457706
14,-5.61373996048083
15,-5.91005656953346
16,-3.39038926896265
17,-3.17169915626111
18,-6.34759444425959
19,-4.71942442029407
20,-6.0671544592183
21,-4.89060603045286
22,-7.02499949917326
23,-6.07964151010456
24,-5.35809256550368
25,-5.10108362892542
26,-6.7101580471098
27,-6.74637131904267
28,-5.42568988632455
29,-4.0814866652245
30,-6.66518107399406
31,-9.2462279850286
32,-8.98014771186271
33,-9.16358900414607
34,-5.19943698466077
35,-6.26431295302539
36,-6.63516735011235
37,-6.38616977378272
38,-4.74138916485357
39,-6.28638624476266
40,-5.17937961336993
41,-5.46249146656287
42,-7.40158995392762
43,-6.73071447453364
44,-5.50954640733664
45,-7.98879166509583
46,-7.80700739138604
47,-6.66068194800866
48,-4.97624401810496
49,-6.21134531302716
50,-6.97229386854708
51,-7.11288966304061
52,-6.51965337055527
53,-7.24999348446077
54,-6.52842517772572
55,-6.05936014724134
56,-5.42322112277652
57,-6.33284205737403
58,-7.43172919498934
59,-6.87743024471753
60,-4.98072045332602
61,-7.79483044768636
62,-6.79455050194046
63,-5.30775496701752
64,-7.59711318247785
65,-8.93571443420198
66,-6.73724888035161
67,-5.66797277137903
68,-4.99249429603174
69,-4.50086440435065
70,-3.88212702182096
71,-6.73437399717437
72,-5.98896088970542
73,-6.64725833467988
74,-5.98621602592432
75,-5.14419141757912
76,-5.09930550360738
77,-2.64074597230516
78,-6.38765872872927
79,-8.85656562860464
80,-6.1225630693427
81,-5.82595198604183
82,-5.49703861622252
83,-7.20825580452108
84,-6.93482126742674
85,-6.70850619280332
86,-6.94376368633462
87,-6.53577959667081
88,-6.51721168649598
89,-8.33120758981515
90,-6.83698843704031
91,-6.63182848261798
92,-7.23211197064233
93,-6.64894119409273
94,-2.93082555840036
95,-6.1064752607799
96,-6.07047759953993
97,-6.99363880384016
98,-7.36227595680771
99,-7.41692473986173
100,-7.50884096824207
101,-6.25752824361371
102,-8.92469493710218
103,-6.90285672078175
104,-6.16656017081755
105,-5.17322476063628
106,-5.62875012230116
107,-6.66317381325802
108,-5.95062457031851
109,-6.26309085545788
110,-5.50056582576413
111,-8.76633925847388
112,-5.88885858256609
113,-6.01910416767669
114,-6.5165119688575
115,-6.81405778619704
116,-5.74958412058701
117,-5.07277939474958
118,-4.57862625951462
119,-5.32175757815844
120,-4.60681595510215
121,-6.1571663368775
122,-5.63741496499614
123,-5.13681054475488
124,-4.08501501197643
125,-6.71635434647244
126,-6.40888570802017
127,-6.36372519038204
128,-8.6608756363723
129,-7.1609719271247
130,-6.64304304971861
131,-7.34268059065219
132,-6.98650111904076
133,-7.22194741526249
134,-6.91621153988609
135,-9.40134919014245
136,-4.19665475074454
137,-9.02455895382257
138,-6.53457383590607
139,-5.64150383508097
140,-4.37109903480814
141,-3.67576309636444
142,-5.53130500516287
143,-5.14482201382012
