,c2db_index,vbm,c2db_id
0,0,-4.99347124206256,Ag2As2S4-64c1b29baa05
1,1,-4.68411616163455,Ag2As2Se4-1bf10a782de1
2,2,-6.80659441353372,Ag2Au2Cl8-5cccc4353dcd
3,3,-7.10458148808136,Ag2Au2F8-202895e945fc
4,4,-5.30692347801954,Ag2Au2I8-7a203e8be533
5,5,-6.46988169180949,Cu2Br6-d725eac1ffd0
6,6,-6.53173970163962,Cu2C4F4O8-900b085354a6
7,7,-5.32825018387333,Cu2C4H4O8-0ccb55a61ccf
8,8,-6.73025846401339,Cu2Cl4-4503d1131e4b
9,9,-6.89114990275566,Cu2Cl4O12-cb8a36339c2a
10,10,-7.38103098400234,Cu2Cl6-9d1c1e79b1c9
11,11,-6.34913288452075,Cu2F2-52d465efe86e
12,12,-5.03139899286083,Cu2F2Hg2S2-d442c0a1cd21
13,13,-4.73004786444091,Cu2F2Hg2Se2-707cccbd40cb
14,14,-6.32080055922208,Cu2F2O4-4c4256710831
15,15,-6.63797974142568,MoAg2O4-f245f06b7e15
16,16,-5.55317099414871,MoAg2S4-65c1c4665d99
17,17,-5.09774769281169,MoAg2Se4-e20f318fc059
18,18,-4.52659438979836,MoAg2Te4-b7068b149e72
19,19,-6.58921862218261,MoAu2O4-5b72dbbc959e
20,20,-5.0633829042746,MoAu2S4-29cfac904ac7
21,21,-4.63147630742557,MoAu2Se4-f187d0336ed9
22,22,-4.15538870652414,MoAu2Te4-ad1f06ea8eee
23,23,-6.1229160989793,BrClSSn2-c64d6951aaee
24,24,-4.06058697089179,BrClTi-d3f135b9cf41
25,25,-4.62527461418023,BrClV-878148656c6a
26,26,-5.70206416978725,Ag2Br2Te3P4-669d0a2f0781
27,27,-5.69593063478059,Ag2Cd2Cl2S2-bb418de1ed1d
28,28,-5.77817833460676,Ag2Cl2Hg2Se2-8041fa0f0c67
29,29,-6.00541633056046,Ag2Cl2Se4-55e92c5d7b58
30,30,-5.12956180281335,Ag2I2Se3Sb4-27c011e3e351
31,31,-5.14538880251454,Au2I2Te4-2f737d1570ba
32,32,-4.87492331027111,Au2I4O12-57dee59ce7ec
33,33,-5.5243557640714,Au2I6-b794c3589838
34,34,-5.3243008047286,Au2Mn2I8-bd93c2673405
35,35,-5.40197709268333,Au2O2-c99b8d2aa925
36,36,-3.15792549635268,HfH2O2-da43912bde43
37,37,-6.55042820556512,HfH2P2O6-13c85720bd1f
38,38,-3.1041700170152,HfI2-05a69240794c
39,39,-5.26200826834624,HfIrCl2Br4-3dc4f2e1b5a8
40,40,-4.1892665955434,HfIYCl5-f2b29fa97e08
41,41,-4.97001596061811,Pt2S2O6-1eb8c8cda495
42,42,-5.59286368262121,Pt2S4-216f8f2dd8c1
43,43,-4.79141406845961,Pt2Se2O6-4ecc90815612
44,44,-4.31335001013131,Pt2Se2O6-4ecc90815612
45,45,-5.39082374749742,Pt2Se4-60c67ebd5bd2
46,46,-5.60215367462228,Pt2Ta4S14-69e1cb239a87
47,47,-4.53779974564361,Fe2Te4-a7af9b8d6acb
48,48,-5.04008145276715,SIn2Te2-cffd12ea6ab7
49,49,-5.61582825460384,SiS2-363c834f218e
50,50,-6.47300346550938,SiS2-363c834f218e
51,51,-5.64201131365361,SiSe2-0dae128e0ffe
52,52,-4.83750250078134,SiSe2-0dae128e0ffe
53,53,-5.12744076480113,BP-0a5e44762c75
54,54,-4.96012477958997,IRhSe-d02a9dade2bd
55,55,-7.22143180735264,IrLiO4-e631e7c0e16d
56,56,-6.07440212106571,Al2P2Se2S4-c6c4f0fbfc9b
57,57,-4.83296696031554,Al2P2Se6-90d84f697622
58,58,-5.46200252770464,Al2S2-1de22722eb33
59,59,-6.16457425242252,Al2S2-1de22722eb33
60,60,-6.20643572928763,Al2S2-1de22722eb33
61,61,-4.75348983147124,Al2S2Si2-b3d85416ef1b
62,62,-6.96030672027212,Al2S3-35fac9e4dc64
63,63,-5.63940520823846,Al2S5-6ad4d2822485
64,64,-5.32161061769806,Al2Sb2O6-5a61c7797075
65,65,-4.60453355246415,O2Pb2-20f098bd3f31
66,66,-4.72698912266323,O2Pb2-20f098bd3f31
67,67,-3.45352732626786,O2Pb2-20f098bd3f31
68,68,-5.69508179353615,O2Pt2-0647e70d53fa
69,69,-8.25262517060923,CaCl2-643810e6bb76
70,70,-7.94274839223992,CaCl2-643810e6bb76
71,71,-8.15595190426107,CaCl2-643810e6bb76
72,72,-10.3440342688905,CaCu2F12-3079bdc63057
73,73,-6.33939634306146,GaInS2-2e22e2d831e4
74,74,-5.17192625349079,GaInTe2-5655c1122715
75,75,-4.70510511725591,I2N2Zr2-0da35ef15eab
76,76,-5.69627768251743,I2N2Zr2-0da35ef15eab
77,77,-5.92865690032247,I2Na2O4H8-732c5098d429
78,78,-6.2803650410956,I2Na2O6-e8498a69d21f
79,79,-5.41641590067081,I2Na2S4H8-dc1c57e814a8
80,80,-6.7585659875442,F2O2Rh2-dcf053cf9610
81,81,-5.90610650363321,TiSe2-320be81440f3
82,82,-6.09263795792606,TiSe2-320be81440f3
83,83,-5.16795287144669,TiTe2-bbb8e581bf27
84,84,-5.1465568891312,TiTe2-bbb8e581bf27
85,85,-6.79969042383842,TiZr3S8-ec37c6657ea3
86,86,-6.2109712651047,TiZr3Se8-a148361e5e9a
87,87,-5.34163427251059,TiZr3Te8-4f1ab08988cc
88,88,-4.28074810326002,TiZrHf2Br8-c826ab0f4523
89,89,-6.66244101110968,Tl2Br4-194d138edf5e
90,90,-7.08116328200616,Tl2Br6-ef8df28dd878
91,91,-7.19266613513019,Tl2Br6-ef8df28dd878
92,92,-7.07159617087312,Tl2Br6-ef8df28dd878
93,93,-6.51780690131927,Cr2F2O2-091419c91ddc
94,94,-6.64377612721656,Cr2F2S2-3effcc08f6a7
95,95,-5.08671589806499,Cr2F4-ebdf3d77e0b6
96,96,-7.53231220445686,Cr2F6-f94d2b50c346
97,97,-5.77837466162639,Cr2Ge2S6-9aa191aaa6de
98,98,-5.46762948608172,Cr2Ge2Se6-6e4ba1cb65ab
99,99,-4.69512416977818,Cr2Ge2Te6-494eb20d87cf
100,100,-5.53334697998506,Cr2H2O5-1585b21cac3e
